particle,diagonal size,msd power,straightness,dead/alive (0/1)
51,6.042468544837134,1.014005440725448,0.1363950534416756,0.0
52,10.503206678636458,1.497817444605009,0.0753042771192954,0.0
54,11.601317479877906,1.298553942216748,0.0694539795751669,0.0
55,0.9429447042943652,0.0,-5.139425816286008,0.0
56,5.326469374830195,1.298047483282055,0.0642331689836705,0.0
57,2.99729042717348,0.9055092496759656,0.0993357250305923,0.0
59,15.92304482612892,0.8785048361979844,0.0678073599215574,1.0
60,10.38817151101475,1.26216569114582,0.0695990537222656,0.0
61,7.0088777292717825,1.1160088622846027,0.0599698436886464,0.0
62,7.049315462658832,0.7320846863188383,0.0632660537495173,0.0
63,6.626642597328103,0.5609708716542541,0.0457146960744298,0.0
64,3.779523541102271,0.8839597373377629,0.0426061172622603,0.0
65,9.32164982594052,1.020840107478609,0.083984030019043,0.0
66,5.599948804517569,1.2104391346817829,0.0554317475013708,0.0
67,3.508824649716996,0.4773743898790066,0.0313993103597464,0.0
68,2.3950155708226704,0.746557823816274,0.3120948452910929,0.0
69,11.638627271727724,1.3470447121453364,0.0684208856405317,0.0
70,10.87960877960201,1.5587502578538794,0.0690697715866837,0.0
71,5.107136733966791,1.1711525373599654,0.1210934919014186,0.0
72,4.113427720107853,0.8377901470005461,0.0484997050299128,0.0
73,5.35381673458451,0.5479543091853695,0.0840470020929021,0.0
74,5.294487007819147,0.660192362113748,0.0509676879614181,0.0
75,5.295797291529476,1.0375195513239348,0.0513027707562782,0.0
76,3.2844061832559572,0.836357078879709,0.0423468634778233,0.0
78,10.450373452961452,1.40491196303717,0.0635059901486176,0.0
79,3.7486453837503766,0.7320943879483438,0.48509544458267,0.0
81,5.572228655476728,1.3229332132999096,0.0607509185616602,0.0
82,2.9683287899809736,-0.2594670579251747,-16.1785792369123,0.0
83,5.050116263864171,1.0642991356973637,0.0516669651361617,0.0
84,4.503285456875408,0.8336964804932744,0.0442689878785507,0.0
85,7.03381308211635,1.3980888958283644,0.0776295916816827,0.0
86,4.514443151513958,1.1577281605455103,0.0486688723178147,0.0
87,3.87585577950413,0.0685119780338906,0.119151206227438,0.0
88,7.230394692107881,0.6464125762681314,0.0852495174399729,0.0
89,3.996144973671977,0.6474097424372052,0.0426961510355542,0.0
90,7.039622591836923,0.562782189892008,0.0477699711187959,0.0
91,3.082861421871128,0.4212624445517152,0.03527645692414,0.0
